Africa	n.非洲
churlish	['tʃ;ə;:liʃ;] adj.粗野的，脾气坏的，无礼的
churlishness	['tʃ;ə;:liʃ;nis] 粗鄙
churn	[tʃ;ə;:n] n.搅乳器v.搅拌,搅动
churr	[tʃ;ə;:] (=chirr)vi.颤鸣n.颤鸣声
chute	[ʃ;u:t] n.瀑布,斜道
chutzpa	['kutspə;] 胆大妄为
chutzpah	['kutspə;] n.放肆
chyme	[kaim] n.半流体的消化物,食糜(食物经胃液消化后
chymotrypsin	n.[生化]胰凝乳蛋白酶,糜蛋白酶
cicada	[si'kɑ;:də;] n.蝉
cicala	[si'kɑ;:lə;] n.蝉
cicatricial	adj.[医][植]瘢痕的
cicatricle	['sikə;,trikl] n.[胚胎]卵斑,[植物]叶痕,脱离痕
cicatrix	['sikə;triks] n.[植]脱离痕,叶痕
cicatrize	['sikə;traiz] v.生成瘢痕,愈合
cicely	['sisli] n.没药科植物
cicerone	[,tʃ;itʃ;ə;'rə;uni] n.(名胜古迹的)导游
cichlid	['siklid] n.棘鳍类热带淡水鱼,丽鱼科鱼
cicisbeo	[,tʃ;i:tʃ;iz'beiə;u] n.<意>(有夫之妇的)情夫
cider	['saidə;] n.苹果酒
cigar	[si'gɑ;:] n.雪茄
cigaret	[,sigə;'ret] n.<美>=cigarette
cigarette	[,sigə;'ret] n.香烟,纸烟
cilia	['siliə;] n.睫,纤毛
ciliary	['siliə;ri] adj.睫毛的,纤毛的,毛状的
ciliate	['siliit] n.[动植]纤毛虫adj.有睫毛的,有纤毛的
ciliated	['silieitid] adj.有纤毛的
ciliation	[sili'eiʃ;ə;n] n.有睫毛,有纤毛
ciliolate	['silə;,leit] adj.[植](叶等)有纤毛的
cilium	['siliə;m] n.cilia的单数
cimex	['saimeks] n.[动物]臭虫属昆虫,臭虫
cinch	[sintʃ;] n.(束马鞍用的)肚带,<俗>紧握,<俚>容易做
cinchona	[siŋ;'kə;unə;] n.[植物]（产于南美的）金鸡纳树,金鸡纳皮
cinchonine	['sinkə;ni:n] n.[化]弱金鸡纳碱（提取于金鸡纳树皮）
cinchonism	['sinkə;nizə;m] n.金鸡纳中毒
cincture	['siŋ;ktʃ;ə;] n.带,边轮,围绕物vt.以带围绕,环绕
cinder	['sində;] n.煤渣,灰烬
cindery	['sində;ri] adj.灰烬的,煤渣的
cine	['sini] n.电影,电影院
cineast	['sini,æ;st] n.cinéaste
cinema	['sinimə;] n.电影院,电影
cinemagoer	n.常看电影的人,电影迷
cinematic	[,sini'mæ;tik] adj.电影的,影片的
cinematograph	[,sini'mæ;tə;grɑ;:f] n.电影放映机,电影摄影机
cinematographer	[,sinimə;'tɔ;grə;fə;] n.电影摄影技师,放映技师
cinematographic	[sinə;mæ;tə;'grɑ;:fik] adj.电影的,电影摄影术的
cinematography	[,sinimə;'tɔ;grə;fi] n.电影术
cineole	n.[化]桉树脑(主要用作祛痰剂)
cineraria	[,sinə;'rɛ;ə;riə;] n.菊科之一种
cinerarium	[,sinə;'rɛ;ə;riə;m] n.骨灰存放处
cinerary	['sinə;rə;ri] adj.骨灰的,放灰的
cinereous	[si'niriə;s] 已成灰的灰一样的
cinerin	['sinə;rin] n.瓜菊酯C&-{20}H&-{28}O&-{3}和C&-{21}H&
cingulate	['siŋ;gjə;leit] adj.(昆虫腹部)有色带环绕的
cingulum	['siŋ;gjə;lə;m] n.带,带状之物
cinnabar	['sinə;bɑ;:] n.[矿]辰砂,赤色硫化水银,朱adj.朱的
cinnamic	adj.苯乙烯的
cinnamon	['sinə;mə;n] n.[植物]肉桂,桂皮,肉桂色
cinquain	[siŋ;'kein] n.五个的一组,五行诗
cinque	[siŋ;k] n.五,五点
cinquecentist	[,tʃ;iŋ;kwi'tʃ;entist] n.16世纪意大利文艺家,作家或诗人
cinquecento	[tʃ;iŋ;kwi'tʃ;entə;u] n.16世纪意大利艺术,此时期意大利艺术风格
cinquefoil	['siŋ;kfɔ;il] n.[植]洋莓属的一种,[建筑]五叶形的装饰,
cion	['saiə;n] n.(接木用的)接穗,嫩芽
cipher	['saifə;] n.密码
ciphertext	密码,暗记文
circa	['sə;:kə;] adv.大约prep.大约
circadian	[sə;:'keidiə;n] adj.生理节奏的,以24小时为周期的
circinate	['sə;:s,neit] adj.漩涡状的
circle	['sə;:kl] n.圆周,圆形物,派系,循环v.围,环绕盘
circlet	['sə;:klit] n.小圈
circuit	['sə;:kit] n.电路,一圈,周游,巡回
circuital	在电路中的
circuitous	[sə;'kju:itə;s] adj.迂回线路的
circuitry	['sə;:kitri] n.电路,线路
circuity	[sə;:'kju:iti] n.迂回,绕行
circular	['sə;:kjulə;] adj.圆形的,循环的n.函件通知
circularity	[,sə;:kju'læ;riti] n.环状
circulate	['sə;:kjuleit] v.(使)流通,(使)运行,(使)循环,(使)传播
circulating	['sə;:kjuleitiŋ;] adj.循环,流通
circulation	[,sə;:kju'leiʃ;ə;n] n.循环,流通,发行额
circulative	['sə;:kjə;leitiv] adj.循环的,促进循环的,流通的
circulatory	['sə;:kjulə;tə;ri] adj.循环的
circumambulate	[,sə;:kə;m'æ;mbjuleit] v.绕行,巡行,婉转打探
circumcise	['sə;:kə;msaiz] v.[宗]除去邪念,净心v.[医]割包皮[阴蒂
circumcision	['sə;:kə;m'siʒ;ə;n] [宗]割礼[医]包皮环切(术)(身心)净化
circumference	[sə;'kʌ;mfə;rə;ns] n.圆周,周围
circumferential	[sə;,kʌ;mfə;'renʃ;ə;l] adj.圆周的
circumflex	['sə;:kə;m,fleks] n.抑扬符号
circumfluence	[sə;'kʌ;mfluə;ns] n.环流,回流
circumfluent	[sə;'kʌ;mfluə;nt] adj.周流的,环流的
circumfuse	[,sə;:kə;m'fju:z] vt.从四面浇灌,围绕,充溢
circumfusion	[sə;:kə;m'fju:ʒ;ə;n] n.从周围灌注,四散,围绕
circumjacent	[,sə;:kə;m'dʒ;eisnt] adj.周围的
circumlocution	['sə;:kə;mlə;'kju:ʃ;ə;n] n.婉转曲折的陈述
circumlocutory	[,sə;:kə;m'lɔ;kjutə;ri] adj.(行文说话等)委婉曲折的,迂回的
circumlunar	[,sə;:kə;m'lu:nə;] adj.绕月球运动的,月球周围的
circumnavigate	[,sə;:kə;m'næ;vigeit] vt.环航
circumnavigation	[,sə;:kə;m,næ;vi'geiʃ;n] n.世界一周旅行,周游世界
circumpolar	[,sə;:kə;m'pə;ulə;] adj.极地附近的,[天文]围绕天极的,拱极的
circumscissile	['sə;:kə;m'sisə;l] adj.[植]周裂的
circumscribe	['sə;:kə;mskraib] v.限制
circumscription	[,sə;:kə;m'skripʃ;ə;n] n.界限
circumsolar	[,sə;:kə;m'sə;ulə;] adj.围绕太阳,太阳周边的
circumspect	['sə;:kə;mspekt] adj.慎重的,周到的
circumspection	['sə;:kə;m'spekʃ;n] n.细心,慎重
circumspectly	['sə;:kə;mspektli] adv.慎重地,留心地
circumstance	['sə;:kə;mstə;ns] n.环境,详情,境况
circumstanced	['sə;:kə;mstə;nst] adj.在...情况下的
circumstantial	[,sə;:kə;m'stæ;nʃ;ə;l] adj.依照情况的
circumstantiality	['sə;:kə;m,stæ;nʃ;i'æ;liti] n.情况细节,偶然性
circumstantially	[,sɝ;:kə;m'stæ;nʃ;ə;li] 按照情况
circumstantiate	[,sə;:kə;m'stæ;nʃ;ieit] vt.详细地说,证明
circumvallate	[sə;:kə;m'væ;leit] vt.用城墙围住
circumvent	[,sə;:kə;m'vent] vt.围绕,包围,智取
circumvented	[,sə;:kə;m'vent] 智胜
circumvention	[,sə;:kə;m'venʃ;n] n.陷害,欺骗
circumvolution	[sə;,kʌ;mvə;'lu:ʃ;ə;n] n.旋转,盘绕
circus	['sə;:kə;s] n.马戏团,杂技团,马戏场,杂技场
cirque	[sə;:k] n.天然圆形剧场,圆环,盆地谷
cirrate	['siə;reit] 有触毛的，有触须的
cirrhosis	[si'rə;usis] n.[医]硬化
cirriped	['siriped] n.[动]蔓足类动物
cirrocumulus	[,sirə;'kju:mjulə;s] n.[气象]卷积云
cirrose	['sirə;us] a[气]似卷云的,[生物]有触毛的
cirrostratus	[,sirə;u'streitə;s] n.[气象]卷层云
cirrous	['sirə;s] a[气]似卷云的,[生物]有触毛的
cirrus	['sirə;s] n.〈气〉卷云
cislunar	[sis'lu:nə;] adj.地球和月亮之间的
cismontane	[sis'mɔ;ntein] adj.山脉的这边的
cistern	['sistə;n] n.水塔,蓄水池
cisterna	[sis'tə;:nə;] n.[解]池,内胞浆网槽
citable	['saitə;bl] adj.可引用的
citadel	['sitə;dl] n.根据地,大本营
citation	[sai'teiʃ;ə;n] n.引用
cite	[sait] vt.引用,引证,提名表扬
cithara	['siθ;ə;rə;] n.类似竖琴的乐器
cither	['siθ;ə;] n.齐特拉琴(古希腊一种类似竖琴的古乐器)
citied	['sitid] adj.都市的,似都市的,其上建有都市的
citify	['sitifai] vt.使都市化
citizen	['sitizn] n.市民,公民
citizenry	['sitiznri] n.公民成市民(集合称)
citizenship	['sitizn,ʃ;ip] n.公民的身份,公民的职责和权力
citral	n.[化]柠檬醛
citrate	['sitreit] n.柠檬酸盐
citric	['sitrik] adj.柠檬的,采自柠檬的
citriculture	['sitri,kʌ;ltʃ;ə;] n.柑橘栽培
citrine	['sitrin] adj.柠檬的,柠檬黄的n.柠檬黄,黄水晶
citron	['sitrə;n] n.[植]香木缘,圆佛手柑
citronella	[,sitrə;'nelə;] n.[植]香茅,枫茅
citronellal	n.[化]香茅醛
citrus	['sitrə;s] n.柑橘类的植物
cittern	['sitə;n] n.西特琴(一种类似吉他的古乐器)
city	['siti] n.城市,都市,全体居民,城邦
cityscape	['siti,skeip] n.都市风景
civet	['sivit] n.[动物]麝猫,[生理]麝猫香,香猫香
civic	['sivik] adj.市的,市民的,公民的
civics	['siviks] n.公民
civil	['sivil] adj.全民的,市民的,公民的,国民的,民间
civilian	[si'viljə;n] n.平民,公务员,文官adj.民间的,民用的
civilisation	n.<主英>=civilization
civilise	v.(=civilize)文明化,教化
civility	[si'viliti] n.彬彬有礼，斯文
civilization	[,sivilai'zeiʃ;ə;n] n.文明,文化,文明社会文明,一个著名游戏的名称
civilize	['sivilaiz] vt.使开化,使文明,教化
civilized	['sivilaizd] adj.文明的,有礼的
civilly	['sivə;li] adv.谦恭地,民法上
clabber	['klæ;bə;] n.凝结的酸牛奶,发酵奶,凝乳v.(使)凝结,
clachan	['klæ;kə;n] n.<苏格兰或爱尔兰>小村庄
clack	[klæ;k] v.n.噼啪响
clad	[klæ;d] vt.在金属外覆以另一种金属adj.穿衣的vbl.clothe的过去式和过去分词
cladding	['klæ;diŋ;] n.覆层
cladode	['klæ;də;ud] n.(=cladophyll)扁平的叶状茎
cladophyll	['klæ;də;fil] n.扁平的叶状茎
claim	[kleim] n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要
claimant	['kleimə;nt] n.（根据权利）提出要求者,原告
clairvoyance	[klɛ;ə;'vɔ;iə;ns] n.透视,洞察力,千里眼
clairvoyant	[klɛ;ə;'vɔ;iə;nt] adj.透视的,有洞察力的n.透视者,千里眼
clam	[klæ;m] n.蛤
clamant	['kleimə;nt] adj.吵闹的,喧嚣的,急迫的
clamatorial	adj.(鸟)京燕的,叫禽类的
clambake	['klæ;mbeik] n.室外宴会,(尤指)海滨野餐,烧蛤,<口>熙
clamber	['klæ;mbə;] vi.爬上,攀登
clammily	['klæ;mili] adv.发粘地,粘粘糊糊地
clamminess	粘性
clammy	['klæ;mi] adj.湿粘的,湿冷的
clamor	['klæ;mə;] n.喧闹,叫嚷,大声的要求v.喧嚷,大声的
clamorous	['klæ;mə;rə;s] adj.大喊大叫的
clamour	n.喧闹v.吵闹,叫喊
clamp	[klæ;mp] n.夹子,夹具,夹钳vt.夹住,夹紧
clampdown	['klæ;mp,daun] n.对言行的限制或禁止
clamshell	['klæ;m,ʃ;el] n.蛤壳,<美>蛤壳式挖泥机
clan	[klæ;n] n.部落,氏族,宗族,党派
clandestine	[klæ;n'destin] adj.秘密的
clang	[klæ;ŋ;] n.叮当声v.(使)叮当地响
clanger	['klæ;ŋ;ə;] n.大失策,过失
clangor	['klæ;ŋ;gə;] n.(尤指连续的)铿锵声,丁当声
clangorous	['klæ;ŋ;ə;rə;s] adj.叮当响的,响亮的
clank	[klæ;ŋ;k] n.叮当声v.(使)发叮当声
clannish	['klæ;niʃ;] adj.氏族的,宗族排外的,团结心很强的
clansman	['klæ;nzmə;n] n.同族的人,族人,同宗的人
clap	[klæ;p] n.拍手声,霹雳声v.鼓掌,轻拍
clapboard	['klæ;pbɔ;:d] n.墙板,隔板,桶板vt.遮以墙板
clapper	['klæ;pə;] n.铃舌，响板
clapperclaw	vi.抓殴,痛骂
claptrap	['klæ;p,træ;p] n.应景的,讨好的言语或行为adj.讨好的
claque	[klæ;k] n.(剧院雇用的)拍手喝彩者,一群捧场者
claqueur	n.剧院中雇用的喝彩的人
clara	克莱拉（女子名）
clarence	['klæ;rə;ns] n.一种双座四轮马车
claret	['klæ;rə;t] n.红葡萄酒,深紫红色
clarification	['klæ;rifi'keiʃ;ə;n] n.澄清,净化
clarifier	n.澄清器
clarify	['klæ;rifai] v.澄清,阐明
clarinet	[,klæ;ri'net] n.[乐]竖笛,单簧管,黑管
clarion	['klæ;riə;n] n.号角
clarity	['klæ;riti] n.清楚,透明
clarkia	['klɑ;:kiə;] n.[植]山字草(产于北美西部)
claro	n.色淡而味薄的
clary	['kleri] n.[植]鼠尾草属的植物
clash	[klæ;ʃ;] n.冲突,撞击声,抵触v.(使)发出撞击声,
clasmatocyte	n.[生]组织细胞
clasp	[klɑ;:sp] n.扣子,钩,紧握,抱住v.扣紧,紧握,搂
class	[klɑ;:s] n.班级,阶级,社会等级,种类,(一节)课vt.把...分类(或分等级)
classic	['klæ;sik] n.杰作,名著adj.第一流的
classical	['klæ;sikə;l] adj.古典的,正统派的,古典文学的
classicalism	['klæ;siklizə;m] n.古典主义,模拟古典
classicality	[,klæ;si'kæ;liti] n.古典,古典的学识
classicism	['klæ;sisizə;m] n.古典主义,古典风格
classicist	['klæ;sisist] n.古典学者,古典主义者
classicize	['klæ;sisaiz] vt.作成古典式,模仿古典
classifiable	['klæ;sifaiə;bl] adj.可分类的
classification	[,klæ;sifi'keiʃ;ə;n] n.分类,分级
classificatory	['klæ;sifikeitə;ri] adj.分类上的,类别的
classified	['klæ;sifaid] v.分类adj.机密的
classifier	分类者；分类器
classify	['klæ;sifai] vt.分类,分等
classis	['klæ;sis] n.长老监督会
classless	['klɑ;:slis] adj.无阶级的
classmate	['klɑ;:smeit] n.同班同学
classroom	['klɑ;:srum] n.教室
classy	['klɑ;:si] adj.(尤指风、举止、仪表等)上等的,优等的
clastic	[,klæ;stik] adj.(模型等)可分解的,[地质]碎屑状的
clathrate	adj.窗格形的,插合物的
clatter	['klæ;tə;] n.咔嗒,哗啦声,嘈杂的谈笑声vi.发出哗啦声,喧闹的谈笑vt.使卡搭卡搭的响
claudication	[,klɔ;:di'keiʃ;ə;n] n.跛行
clausal	['klɔ;:zə;l] adj.分项的,条款的,分句的
clause	[klɔ;:z] n.子句,条款
claustral	['klɔ;:strə;l] adj.修道院的,隐遁的
claustrophobe	['klɔ;:strə;fə;ub] n.患幽闭恐怖症的人
claustrophobia	['klɔ;:strə;'fə;ubiə;] n.[医]幽闭恐怖症
claustrophobic	[,klɔ;:strə;'fə;ubik] adj.(患)幽闭恐怖症的,导致幽闭恐怖症的
clavate	['kleiveit] adj.棍棒状的,一端膨大的
clave	[kleiv] vbl.cleave的过去式
claver	n.vi.闲谈,闲话
clavichord	['klæ;vikɔ;:d] n.翼琴(钢琴的前身)
clavicle	['klæ;vikl] n.[解剖]锁骨
clavicorn	adj.有棒状触角的,锤角组的
clavier	['klæ;viə;] n.键盘,键盘乐器,练习用无音键盘
claviform	['klæ;vifɔ;:m] adj.棒状的
claw	[klɔ;:] n.爪,脚爪v.抓
clay	[klei] n.粘土,泥土,肉体,人体,似黏土的东西,
claybank	['kleibæ;ŋ;k] n.土堤,棕黄色
clayey	['kleii] adj.粘土的,粘土状的
claymore	['kleimɔ;:] n.双刃大砍刀
claypan	n.粘土层,粘土湖
clean	[kli:n] adj.清洁的,干净的,清白的v.打扫,使干
cleaner	['kli:nə;] n.清洁工人,清洁器
cleaning	['kli:niŋ;] 清洁（处理），清洗
cleanliness	['klenlinis] n.洁癖,清洁
cleanly	['klenli] adj.喜清洁的,干净的,洁净的adv.干净地,
cleanness	['kli:nnis] n.清洁,洁白
cleanse	[klenz] v.纯净
cleanser	['klenzə;] n.清洁剂,使清洁的东西,擦亮粉
clear	[kliə;] adj.清楚的,清晰的,清澈的,光亮的,空旷
clear-cut	['kliə;'kʌ;t] adj.轮廓鲜明的,清晰的
clear-eyed	['kliə;r'aid] adj.视力好的,目光明亮的,头脑清晰的
clearable	
clearance	['kliə;rə;ns] n.清除
clearing	['kliə;riŋ;] n.空旷地
clearly	['kliə;li] adv.明朗地,明显地,无疑地
clearness	['kliə;nis] n.晴朗,明白
clearway	n.超速道路
cleat	[kli:t] n.夹板
cleavable	['kli:və;bl] adj.劈得开的
cleavage	['kli:vidʒ;] n.劈开,分裂
cleave	[kli:v] v.劈,劈开,裂开vi.粘着,忠于,坚持
cleaver	['kli:və;] n.切肉刀
cleavers	['kli:və;z] [植]猪殃殃(其茎,实均有钩刺)
cleek	[kli:k] n.铁钩,铁头的高尔夫球棒
clef	[klef] n.音部记号
cleft	[kleft] n.裂缝,隙口adj.劈开的vbl.劈开,分开
cleistogamous	[klais'tɔ;gə;mə;s] adj.[植]闭花受胎的,闭花受精的
cleistogamy	[klais'tɔ;gə;mi] n.[植]闭花受精
clematis	['klemə;tis] n.[植]铁线莲
clemency	['klemə;nsi] n.温和,仁慈,和蔼
clement	['klemə;nt] adj.仁慈的，温和的
clench	[klentʃ;] n.牢牢抓住,钉紧,敲弯的钉头v.紧握,(拳
clepe	[kli:p] v.名叫,命名为
clepsydra	['klepsidrə;] n.漏壶,水时计(昔时的计时器)
clerestory	['kliɚ;,stɔ;:ri] n.天窗,通风窗
clergy	['klə;:dʒ;i] n.(集合称)圣职者,牧师,僧侣,神职人员
clergyman	['klə;:dʒ;imə;n] n.牧师,教士
cleric	['klerik] n.牧师,传教士adj.牧师的
clerical	['klerikə;l] adj.牧师的,书记的n.牧师
clericalism	['klerikə;lizə;m] n.教权主义,任圣职者不正常的政治势力
clerihew	['klerə;hju:] n.克莱里休4行打油诗(一种刻画人物特征的幽
clerisy	['klerə;si] n.知识分子,知识阶层
clerk	[klɑ;:k] n.职员,办事员,<美>店员
clerkly	['klɑ;:kli] adj.秘书的,书记似的,缮写的
clerkship	['klɑ;:kʃ;ip] n.书记的职位
clever	['klevə;] adj.机灵的,聪明的
cleverly	['klevə;li] adv.聪明地,灵明地
cleverness	['klevə;nis] 聪明
clevis	['klevis] n.Ｕ形夹,马蹄铁
clew	[klu:] n.(解决问题的)线索,线团vt.绕成线球,提
cliche	['kli:ʃ;ei] n.陈词滥调,铅版adj.陈腐的
click	[klik] v.发出滴答声n.滴答声
client	['klaiə;nt] n.[计]顾客,客户,委托人
clientage	['klaiə;ntidʒ;] n.委托关系
clientele	[,klaiə;n'tel] n.(医生、律师的)顾客，(商店的)常客
cliff	[klif] n.悬崖,绝壁
cliffy	['klifi] adj.陡峭的
climacteric	[klai'mæ;ktə;rik] n.重要的转折点，危机期
climactic	[klai'mæ;ktik] adj.顶点的,渐层法的,高潮的
climate	['klaimit] n.气候,风土,思潮
climatic	[klai'mæ;tik] adj.气候上的
climatology	[,klaimə;'tɔ;lə;dʒ;i] n.气候学,风土学
climax	['klaimæ;ks] n.高潮,顶点
climb	[klaim] v.攀登,爬n.攀登,爬
climbable	['klaimə;bl] adj.爬得上去的
climber	['klaimə;] n.登山者,攀缘植物
climbing	['klaimiŋ;] adj.攀登的,上升的n.攀登
clime	[klaim] n.气候,地方,地域
clinch	[klintʃ;] n.钉牢,拥吻v.敲弯,扭住
clincher	['klintʃ;ə;] n.敲弯钉头的工具,紧钳,夹子
cline	[klain] n.[生]渐变群(一种生态特征)
cling	[kliŋ;] vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)
clinging	['kliŋ;iŋ;] adj.执着的,有粘性的
clingstone	['kliŋ;stə;un] n.果肉紧贴于核的桃或梅子adj.果肉与核分
clingy	['kliŋ;i] adj.粘住的,紧贴的
clinic	['klinik] n.门诊部,临床
clinical	['klinikə;l] adj.临床的,病房用的
clinician	[kli'niʃ;ə;n] n.[医]临床医生,临床教师
clink	[kliŋ;k] n.丁当声v.(使)发丁当声
clinker	['kliŋ;kə;] n.(一种表面光洁如玻璃的)炼砖,渣块v.(使
clinometer	[klai'nɔ;mitə;] n.测角器,倾斜仪
clinquant	['kliŋ;kə;nt] n.仿金箔adj.金光闪闪的(尤指无价值的)
clip	[klip] n.夹子,回形针,子弹夹vt.夹住,剪短,修
clip-clop	['klipklɔ;p] n.(=clippety-clop)似马蹄声的声音
clipboard	['klip,bɔ;:d] n.有纸夹的笔记板n.剪贴板
clipped	[klipt] adj.省略一部分的,发音清楚的
clipper	['klipə;] n.大剪刀,快速帆船修剪者
clipping	['klipiŋ;] n.剪下的东西,剪辑adj.<俗>头等的,极好的
clipsheet	n.报刊等只印一面
clique	[kli:k] n.私党,小圈子,派系,阀vi.结党
cliquism	n.小集团主义
cliquy	['kli:ki] adj.(cliquish)私党的,分为派系的
clitoris	['klaitə;ris] n.阴核,阴蒂
cloaca	[klə;u'eikə;] n.下水道,阴沟,[动]泄殖腔
cloak	[klə;uk] n.斗蓬,宽大外衣,掩护vt.用外衣遮蔽,披
cloakroom	['klə;uk,rum] n.(剧场等)衣帽间,(车站等)行李站暂存处,
clobber	['klɔ;bə;] n.衣服,浅黑浆糊vt.痛殴,击倒,使惨败
cloche	[klə;uʃ;] n.园艺用钟形玻璃盖,钟形女帽
clock	[klɔ;k] n.时钟
clockwise	['klɔ;kwaiz] adj.顺时针方向的adv.顺时针方向地
clockwork	['klɔ;kwə;:k] n.时钟机构
clod	[klɔ;d] n.土块vt.掷土块
cloddish	['klɔ;diʃ;] adj.土块一样的,土里土气的,粗鲁的
clodhopper	['klɔ;d,hɔ;pə;] n.<口>庄稼汉,乡巴佬
clodhopping	['klɔ;d,hɔ;piŋ;] adj.粗鲁的,不礼节的
clodpoll	n.笨蛋,呆子
clog	[klɔ;g] n.木底鞋,障碍v.障碍,阻塞
cloisonne	[klwɑ;:'zɔ;nei] adj.景泰蓝制的n.景泰蓝瓷器
cloister	['klɔ;istə;] n.回廊,修道院
cloistered	['klɔ;istə;d] adj.住在修道院的,隐居的
cloistering	与世隔绝
cloistral	['klɔ;istrə;l] adj.修道院的,隐居的,孤独的
cloistress	n.<废>修女
clonal	['klə;unə;l] adj.[生]无性(繁殖)系的,无性(繁殖)系般的
clone	[klə;un] n.无性系,无性繁殖,克隆v.无性繁殖,复制
clonic	['klɔ;nik] adj.阵挛的
cloning	无性（繁殖）系化，纯系化
clonus	['klə;unə;s] n.[医]阵挛,抽筋
cloot	n.(猪,羊等的)偶蹄,偶蹄的一边
close	[klə;uz] v.关,关闭,结束,停止,使靠近,靠拢,会
close-hauled	['klə;us'hɔ;:ld] adj.迎风开的,抢风开的
close-up	n.特写镜头,从近处仔细的观察,小传
closed	[klə;uzd] adj.关闭的,限于少数人的
closedown	n.关闭,封闭,闭锁
closefisted	adj.吝啬的,小气的
closely	['klə;usli] adv.接近地
closeness	['klə;usnis] n.紧闭,狭窄
closet	['klɔ;zit] n.壁橱,储藏室,厕所adj.关起门来的vt.关入私室密谈
closing	['klə;uziŋ;] n.结束adj.结束的
clostridial	adj.[生]梭菌的,梭菌属的
clostridium	[klɔ;s'tridiə;m] n.[生]梭菌,梭菌属
closure	['klə;uʒ;ə;] n.关闭vt.使终止
clot	[klɔ;t] n.(血液等的)凝块v.(使)凝结
cloth	[klɔ;θ;] n.布,织物,衣料
clothe	[klə;uð;] vt.给...穿衣,覆盖
clothes	[klə;uð;z] n.衣服,[总称]被褥,各种衣服,<美俚>家丑
clothespress	['klə;uð;zpres] n.衣橱
clothier	['klə;uð;iə;] n.呢绒商,衣商
clothing	['klə;uð;iŋ;] n.衣服
cloture	['klə;utʃ;ə;] n.讨论终结vt.结束辩论
cloud	[klaud] n.云,烟云,天空,污点vt.以云遮敝,玷污
cloudberry	['klaud,beri] n.野生的黄莓
cloudburst	['klaudbə;:st] n.大暴雨，豪雨
cloudiness	['klaudinis] n.阴暗,暗晦,朦胧
cloudless	['klaudlis] adj.无云的
cloudlet	['klaudlit] n.微云,朵云,小片云
cloudy	['klaudi] adj.多云的,阴天的,阴沉
clout	[klaut] n.敲打,轻叩,破布vt.叩,敲一下
clove	[klə;uv] n.[植]丁香vbl.cleave的过去式
cloven	['klə;uvə;n] adj.分裂的,裂开的
clover	['klə;uvə;] n.[植]三叶草,苜蓿
cloverleaf	['klə;uvə;li:f] n.四叶苜蓿形的立体道路交叉点
clown	[klaun] n.小丑,粗鲁愚蠢的人
clownish	['klauniʃ;] adj.滑稽的
cloy	[klɔ;i] vt.过饱,使厌腻vi.吃饱
cloying	['klɔ;iiŋ;] adj.因过量而厌烦的,倒胃口的
club	[klʌ;b] n.俱乐部,夜总会,社,棍棒,(高尔夫球等的)球棒,(扑克牌)梅花vt.棍打,协作,联合,把...当棍棒用
clubbable	['klʌ;bə;bl] adj.<俚>适合俱乐部会员资格的,善交际的
clubby	['klʌ;bi] adj.俱乐部的,喜交际的,资格要求严的
clubhouse	['klʌ;b'haus] n.俱乐部会所
cluck	[klʌ;k] n.咯咯的叫声v.咯咯叫
clue	[klu:] n.线索
clumber	n.矮脚体壮毛厚的西班牙猎犬
clump	[klʌ;mp] n.土块v.丛生
clumsily	['klʌ;mzili] adv.笨拙地,粗陋地,不漂亮地
clumsiness	['klʌ;mzinis] n.笨拙,简陋,丑陋
clumsy	['klʌ;mzi] adj.笨拙的
clung	[klʌ;ŋ;] vbl.cling的过去式及过去分词
clupeid	['klu:piid] n.[动]鲱科之鱼adj.鲱科的
cluster	['klʌ;stə;] n.串,丛vi.丛生,成群
clutch	[klʌ;tʃ;] v.抓住,攫住n.离合器
clutter	['klʌ;tə;] n.混乱
clypeate	['klipieit] adj.[生物]圆盾形的,(昆虫)有额板的,有唇
clypeus	['klipiə;s] n.大圆盾,(昆虫类之)额板,唇基
clyster	['klistə;] n.灌肠vt.灌肠
co-op	[kə;u'ɔ;p] <俚>消费合作社,cooperativesociety生活
co-worker	['kə;u'wə;:kə;] n.共同工作者,合作者,同事,帮手
coacervate	n.[化]凝聚层
coach	[kə;utʃ;] n.四轮大马车,长途汽车,教练v.训练,指导
coachman	['kə;utʃ;mə;n] n.马车夫
coact	[kə;u'æ;kt] vi.共同合作
coaction	[kə;u'æ;kʃ;ə;n] n.合作,强迫
coadjutor	[kə;u'æ;dʒ;utə;] n.助手,副主教
coadunate	[kə;u'æ;dʒ;unit] adj.[植]密结的,叶茎连生的
coagulant	[kə;u'æ;gjulə;nt] n.凝结剂
coagulase	n.[生化]凝固酵素
coagulate	[kə;u'æ;gjuleit] v.凝结，使凝结
coagulation	[kə;u'æ;gju'leiʃ;ə;n] n.凝结,凝结物
coagulum	[kə;u'æ;gjulə;m] n.凝结物,凝固物
coal	[kə;ul] n.煤v.加煤
coaler	['kə;ulə;] n.运煤船,煤商,运煤铁路
coalesce	[,kə;uə;'les] v.接合
coalesced	聚结
coalescence	[,kə;uə;'lesns] n.合并,接合,联合
coalfish	['kə;ulfiʃ;] n.[动]黑鳕
coalition	[,kə;uə;'liʃ;ə;n] n.合并,接合,联合
coaming	['kə;umiŋ;] n.舱口栏板,边材
